Professor,Course
"Lee, Yew-Sing",IDS 473 | Risk Management and Insurance
"Lee-Hassan, Alexa",MATH 108 | Intermediate Algebraic Concepts
"Lee-Hassan, Alexa",MATH 141 | Algebraic and Geometric Structures
"Lee-Hassan, Alexa",MTHT 411 | Advanced Euclidean Geometry
"Lee-Hassan, Alexa",MTHT 465 | Teaching Algebra for Understanding
"Lee-Hassan, Alexa",MTHT 496 | Independent Study
"Lefevre, Serguei",PHYS 112 | Astronomy and the Universe
"Lefevre, Serguei",PHYS 131 | Introductory Physics for Life Sciences I
"Lefevre, Serguei",PHYS 132 | Introductory Physics for Life Sciences II
"Lefevre, Serguei",PHYS 141 | General Physics I (Mechanics)
"Lefevre, Serguei",PHYS 142 | General Physics II (Electricity and Magnetism)
"Leger, Pierre",HPA 521 | Empirical Methods for Health Research I
"Leger, Pierre",IPHS 598 | Research in Public Health Sciences - M.S.
"Leger, Pierre",IPHS 599 | Research in Public Health Sciences - Ph.D.
"Lei, Qingli",SPED 473 | Teaching Math and Science with Adaptations
"Leick, Karen",ENGL 280 | Media and Professional Writing
"Leick, Karen",ENGL 379 | Independent Study in English
"Leick, Karen",ENGL 389 | Writing for Community Advocacy
"Leick, Karen",ENGL 389 | Writing for Community Advocacy and Activism
"Leick, Karen",ENGL 493 | Internship in Nonfiction Writing
"Leick, Karen",ENGL 497 | Senior Thesis
"Leick, Karen",HON 201 | Honors Seminar
"Leiderman, Yannek",BME 596 | Independent Study
"Leiderman, Yannek",BME 598 | Masters Thesis Research
"Leiderman, Yannek",BME 599 | Ph.D. Thesis Research
"Leifer, Ariel",CELE 605 | Reproductive Health in Fam Med
"Leipold, Catherine",NUPR 420 | Clinical Synthesis
"Leipold, Catherine",NURS 411 | Foundations of Nursing Practice
"Leipold, Catherine",NURS 419 | Pathophysiology and Pharmacology 1
"Leipold, Catherine",NURS 420 | Patho-Pharm 2
"Leipold, Catherine",NURS 458 | Transition to Professional Nursing Practice
"Leiser, Sarah",COMM 200 | Comm Technology
"Leiser, Sarah",COMM 200 | Communication Technologies
"Leiser, Sarah",MOVI 200 | Communication Technologies
"Lejeune, Julia",PSCH 333 | Laboratory in Clinical Psychology
"Lejeune, Julia",PSCH 385 | Field Work in Applied Psychology
"Lekili, Yanki",MATH 599 | Thesis Research
"Lemke, Donald",CME 496 | Special Problems
"Lenihan, Patrick",IPHS 596 | Independent Study in Public Health
"Lenihan, Patrick",IPHS 698 | Integrative Learning Experience
"Lenihan, Patrick",IPHS 699 | Research in Public Health Sciences - DrPH
"Lenzo, Sheri",DHD 548 | Assistive Technology Tools in the PK-12 Educational Setting
"Leondedis, Peter",THTR 105 | Introduction to American Musical Theatre
"Leonsins, Lisabeth",COMM 100 | Fundamentals of Human Communication
"Leonsins, Lisabeth",COMM 200 | Comm Technology Maj&amp;Minor only
"Leonsins, Lisabeth",COMM 200 | Communication Technologies
"Leshikar, Eric",PSCH 396 | Directed Research
"Leshikar, Eric",PSCH 397 | Readings in Psychology
"Leshikar, Eric",PSCH 399 | Independent Research
"Leshikar, Eric",PSCH 508 | Colloquium on the Teaching of Psychology
"Leshikar, Eric",PSCH 553 | Memory
"Leshikar, Eric",PSCH 586 | The Science of Teaching Psychology
"Leshikar, Eric",PSCH 587 | Practicum in Teaching Psychology
"Leshikar, Eric",PSCH 591 | Research Apprenticeship
"Leshikar, Eric",PSCH 596 | Independent Study
"Leshikar, Eric",PSCH 598 | Thesis Research
"Leshikar, Eric",PSCH 599 | Dissertation Research
"Leung, Mary",NURS 438 | Introduction to Evidence-Based Practice
"Leung, Mary",NURS 448 | Leadership in Professional Nursing Practice
"Leung, Mary",NURS 532 | Comprehensive Health Assessment for Advanced Nursing Practice
"Leveille, Abi",COMM 100 | Fundamentals of Human Communication
"Leveille, Abi",COMM 220 | Social Media and Marketing
"Leveille, Abi",LAS 110 | Experience UIC
"Levi D&#39;Ancona, Emily",PUBH 110 | Public Health and Global Societies
"Levit, Tanya",NURS 453 | Pediatric Health Nursing
"Levitan, Irena",BME 596 | Independent Study
"Levitan, Irena",BME 598 | Masters Thesis Research
"Levitan, Irena",BME 599 | Ph.D. Thesis Research
"Levitan, Irena",GEMS 522 | Foundations of Biomedical Sciences II
"Levy, Judith",IPHS 596 | Independent Study in Public Health
"Levy, Judith",IPHS 599 | Research in Public Health Sciences - Ph.D.
"Lew, Randy",CHEM 122 | Matter and Energy
"Lew, Randy",CHEM 123 | Foundations of Chemical Inquiry I
"Lew, Randy",CHEM 124 | Chemical Dynamics
"Lew, Randy",CHEM 125 | Foundations of Chemical Inquiry II
"Lewis, Amanda",BLST 398 | Independent Study: Special Topics
"Lewis, Amanda",BLST 596 | Independent Study
"Lewis, Amanda",SOC 296 | Supervised Study or Research
"Lewis, Amanda",SOC 298 | Internship in Sociological Applications
"Lewis, Amanda",SOC 496 | Independent Study or Research
"Lewis, Amanda",SOC 499 | Senior Thesis
"Lewis, Amanda",SOC 596 | Independent Study
"Lewis, Amanda",SOC 599 | Thesis Research
"Lewis, Andrew",HON 124 | Honors Core in Understanding the Past and Understanding the Creative Arts
"Lewis, Andrew",MUS 100 | Introduction to Music I
"Lewis, Andrew",MUS 153 | University Choir
"Lewis, Garry",BIOS 110 | Biology of Cells and Organisms
"Lewis, Garry",BIOS 310 | Genetics Laboratory
"Lewis, Imani",HPA 464 | Sociocultural Dimensions of Health Disparities Research
"Lewis, Jennifer",ENGL 161 | Academic Writing II: Writing for Inquiry and Research
"Lewis, Jennifer","ENGL 238 | Speculative Fiction, Sci-Fi and Fantasy"
"Lewis, Jennifer",ENGL 379 | Independent Study in English
"Lewis, Jennifer",HON 121 | Honors Core in Understanding Individual and Society and Understanding Creative Arts
"Lewis, Jennifer",HON 142 | Honors Core in Understanding the Creative Arts
"Lewis, Keith",BA 320 | Civic Engagement
"Lewis, Paul",JD 406 | Property
"Lewis, Paul",LAW 534 | Secured Transactions
"Lewis, Paul",LAW 542 | Bankruptcy Law
"Lewis, Ryden",PSCH 343 | Statistical Methods in Behavioral Science
"Lewis, Ryden",PSCH 350 | Sensation and Perception
"Lewis, Sharon",HIM 384 | Clinical Practicum
"Lheveder, Sacha",MATH 181 | Calculus II
"Lheveder, Sacha",MATH 210 | Calculus III
"Li, An",IPHS 596 | Independent Study in Public Health
"Li, An",IPHS 598 | Research in Public Health Sciences - M.S.
"Li, An",IPHS 599 | Research in Public Health Sciences - Ph.D.
"Li, An",IPHS 699 | Research in Public Health Sciences - DrPH
"Li, Baoxin",CS 597 | Project Research
"Li, Baoxin",CS 599 | Ph.D. Thesis Research
"Li, Chengze",CS 151 | Mathematical Foundations of Computing
"Li, Hongjin",NUEL 596 | Independent Study: Graduate
"Li, Hongjin",NUPR 593 | Research Practicum
"Li, Hongjin",NURS 592 | Preliminary Exam Preparation
"Li, Hongjin",NURS 599 | PhD Thesis Research
"Li, Jianxun",OSCI 593 | Independent Research in Oral Sciences
"Li, Jing",PHYB 518 | Cardiovascular Pathophysiology
"Li, Lin",IE 342 | Probability and Statistics for Engineers
"Li, Lin",IE 392 | Undergraduate Research
"Li, Lin",IE 467 | Discrete Event Computer Simulation Application
"Li, Lin",IE 591 | Industrial Engineering Internship
"Li, Lin",IE 596 | Independent Study
"Li, Lin",IE 598 | M.S. Thesis Research
"Li, Lin",IE 599 | Ph.D. Thesis Research
"Li, Lin",ME 392 | Undergraduate Research
"Li, Lin",ME 591 | Mechanical Engineering Internship
"Li, Lin",ME 596 | Independent Study
"Li, Lin",ME 598 | M.S. Thesis Research
"Li, Lin",ME 599 | Ph.D. Thesis Research
"Li, Siyu",ECE 115 | Introduction to Electrical and Computer Engineering
"Li, Siyu",ECE 210 | Electrical Circuit Analysis
"Li, Teng",ECE 265 | Introduction to Logic Design
"Li, Weiguo",BME 398 | Undergraduate Research
"Li, Weiguo",BME 494 | MRI in Practice
"Li, Weiguo",BME 596 | Independent Study
"Li, Weiguo",BME 598 | Masters Thesis Research
"Li, Weiguo",BME 599 | Ph.D. Thesis Research
"Li, Xuejun",MBT 537 | Stem Cells and Regenerative Engineering
"Li, Yanqiao",BIOS 120 | Biology of Populations and Communities
"Li, shanghao",CS 109 | Programming for Engineers with MatLab
"Li, shanghao",CS 401 | Computer Algorithms I
"Li, shanghao",MCS 401 | Computer Algorithms I
"Liang, Chen",IDS 355 | Operations Management
"Liang, Chen",IDS 355 | Operations Mgmt
"Liang, Jiaqi",PA 515 | Bureaucracy and the Policy Process
"Liang, Jiaqi","PA 596 | Independent Research in Public Policy, Management, and Analytics"
"Liang, Jiaqi",PPOL 240 | Environmental Policy
"Liang, Jiaqi",PPOL 303 | Policy Implementation and Management
"Liang, Jie",BME 590 | Internship in Biomedical Engineering
"Liao, Alex",BME 534 | Mathematical Foundations of Advanced Machine Learning
"Liao, Alex",BME 590 | Internship in Biomedical Engineering
"Liao, Alex",BME 596 | Independent Study
"Liao, Alex",BME 598 | Masters Thesis Research
"Liao, Alex",BME 599 | Ph.D. Thesis Research
"Liao, Alex",NEUS 596 | Independent Study
"Liao, Alex",NEUS 598 | Master&#39;s Thesis Research in Neuroscience
"Liao, Alex",NEUS 599 | Doctoral Research in Neuroscience
"Libbing, Stephen","DAOB 303 | Applied Oral and Behavioral Sciences, AS-3"
"Libgober, Anatoly",MATH 599 | Thesis Research
"Lichtenstein, Steve",CLER 618 | Peoria Pediatrics Clerkship
"Liden, Robert",MGMT 475 | Leadership Theories and Personal Leadership Skills Development
"Liden, Robert",MGMT 573 | Research Methods l in Organizational Behavior and Human Resource Management
"Liden, Robert",MGMT 599 | Ph.D. Thesis Research
"Liechty, Mark",ANTH 490 | Independent Study
"Liechty, Mark",ANTH 596 | Independent Study
"Liechty, Mark",ANTH 599 | Ph.D. Thesis Research
"Liechty, Mark",HIST 399 | Independent Study: Special Topics
"Liechty, Mark",HIST 596 | Independent Study
"Liechty, Mark",HIST 599 | Ph.D. Thesis Research
"Liese, Kylea",NUEL 399 | Independent Study: Undergraduate
"Liese, Kylea",NUEL 596 | Independent Study: Graduate
"Liese, Kylea",NUPR 556 | EBP 4: DNP Project Planning and Implementation
"Liese, Kylea",NUPR 593 | Research Practicum
"Liese, Kylea",NURS 592 | Preliminary Exam Preparation
"Liese, Kylea",NURS 599 | PhD Thesis Research
"Liew, Chong Wee",GEMS 522 | Foundations of Biomedical Sciences II
"Liew, Chong Wee",PHYB 399 | Laboratory Research
"Liew, Chong Wee",PHYB 531 | Metabolism: An Integrated Multi-Organ Crosstalk
"Liew, Chong Wee",PHYB 552 | Human Physiology II
"Liew, Chong Wee",PHYB 562 | Therapeutic Development &ndash; Clinical Trials
"Liew, Chong Wee",PHYB 572 | Clinical Applications of Physiology II
"Liew, Chong Wee",PHYB 599 | Ph.D. Thesis Research
"Light, Jennifer",CLER 618 | Peoria Pediatrics Clerkship
"Lightfoot, Lori",PA 494 | Topics/Urban Planning &amp; Policy
"Lightfoot, Lori",UPP 493 | Leadership in Times of Crisis
"Ligot, Mishka",ENGL 103 | Understanding Poetry
"Ligot, Mishka",ENGL 161 | Academic Writing II: Writing for Inquiry and Research
"Lilley, Carmen",ECE 598 | M.S. Thesis Research
"Lilley, Carmen",ECE 599 | Ph.D. Thesis Research
"Lilley, Carmen",ME 210 | Engineering Dynamics
"Lilley, Carmen",ME 293 | Special Problems
"Lilley, Carmen",ME 392 | Undergraduate Research
"Lilley, Carmen",ME 591 | Mechanical Engineering Internship
"Lilley, Carmen",ME 596 | Independent Study
"Lilley, Carmen",ME 598 | M.S. Thesis Research
"Lilley, Carmen",ME 599 | Ph.D. Thesis Research
"Lillis, John",ECE 598 | M.S. Thesis Research
"Lillis, John",ECE 599 | Ph.D. Thesis Research
"Lillis, John",ECE 599 | PhD Thesis Research
"Lim, Chae-Lin",IDS 200 | Intro to Management Information Systems
"Lim, Heechan",SPAN 103 | Intermediate Spanish I
"Lim, ahreum",HPE 494 | AI in HPE
"Lin, James",ECE 596 | Individual Study
"Lin, Jamie",CHIN 102 | Elementary Chinese II
"Lin, Jamie",POL 150 | Introduction to Polish Cinema
"Lin, Jane",CME 302 | Transportation Engineering
"Lin, Jane",CME 392 | Undergraduate Research
"Lin, Jane",CME 441 | City Logistics
"Lin, Jane",CME 494 | Sustainable Trans Systems
"Lin, Jane",CME 496 | Special Problems
"Lin, Jane",CME 596 | Independent Study
"Lin, Jane",CME 598 | Master&#39;s Thesis Research
"Lin, Jane",CME 599 | Ph.D. Thesis Research
"Lin, Janet",IPHS 596 | Independent Study in Public Health
"Lin, Janet",IPHS 698 | Integrative Learning Experience
"Lin, Jerchern",FIN 510 | Investments
"Lin, Meishan",BME 339 | Biostatistics I
"Lin, Meishan",BME 480 | Intro to Bioinformatics
"Lin, Meishan",BME 481 | Bioinformatics Laboratory
"Lin, Meishan",BME 594 | Omics Journal Club
"Lin, Rone-Chun",CLER 620 | Peoria Medicine Clerkship
"Lin, Rone-Chun",PELE 605 | Infection Prvntn and Control
"Lin, Rone-Chun",PELE 606 | Infectious Diseases
"Lin, Zhuoer",HPA 463 | Managerial Health Economics
"Lin, Zhuoer",HPA 522 | Empirical Methods for Health Research II
"Lin, Zhuoer",IPHS 599 | Research in Public Health Sciences - Ph.D.
"Lind, Rebecca",COMM 103 | Introduction to Media
"Lind, Rebecca",COMM 498 | Independent Study
"Lind, Rebecca",COMM 596 | Independent Research
"Lind, Rebecca",COMM 598 | Thesis Research
"Lind, Rebecca",COMM 599 | Dissertation Research
"Lindahl, Larry",CLER 620 | Peoria Medicine Clerkship
"Lindahl, Larry",PELE 606 | Geriatric Medicine
"Lindahl, Larry",PELE 606 | Geriatrics
"Lindberg, Steve",LAW 437 | Lawyering Skills IV: Drafting General Practice
"Lindeman-Jarvis, Tracey",COMM 100 | Fundamentals of Human Communication
"Lindeman-Jarvis, Tracey",COMM 294 | Freelance Journalism
"Lindsey, Denita",CLER 618 | Peoria Pediatrics Clerkship
"Lindstrom, Esther",SPED 462 | Assessment of Individuals with Disabilities
"Lindstrom, Esther",SPED 593 | Ph.D. Research Project
"Lindstrom, Esther",SPED 596 | Independent Study
"Lindstrom, Esther",SPED 599 | Thesis Research
"Line, Julie",LAW 422 | Lawyering Skills III: Appellate Advocacy
"Linninger, Andreas",BME 398 | Undergraduate Research
"Linninger, Andreas",BME 514 | Advanced Biotransport
"Linninger, Andreas",BME 590 | Internship in Biomedical Engineering
"Linninger, Andreas",BME 596 | Independent Study
"Linninger, Andreas",BME 598 | Masters Thesis Research
"Linninger, Andreas",BME 599 | Ph.D. Thesis Research
"Liotine, Matthew",IDS 355 | Operations Management
"Liotine, Matthew",IDS 355 | Operations Management Scholars
"Liotine, Matthew",IDS 450 | Supply Chain Plan &amp; Logistics
"Liotine, Matthew",IDS 454 | Introduction to Supply Chain Management
"Liotine, Matthew",IDS 507 | Advanced Systems Analysis and Design Project
"Liotine, Matthew",IDS 552 | Supply Chain Management
"Liotine, Matthew",IDS 555 | Applied Supply Chain Strategy and Practice
"Liotine, Matthew",IDS 589 | Information and Decision Sciences Practicum
"Liotine, Matthew",IDS 596 | Independent Study in Information and Decision Sciences
"Lipman, Pauline",ED 200 | Education Policy Foundations
"Lipman, Pauline",ED 396 | Independent Study
"Lipman, Pauline",ED 596 | Independent Study
"Lipman, Pauline",EDPS 488 | Education and Social Movements
"Lipman, Pauline",EDPS 500 | City Schools: Education in the Urban Environment
"Lipman, Pauline",EDPS 565 | Globalization and Education
"Lipman, Pauline",EDPS 591 | Professional Capstone Inquiry
"Lipman, Pauline",EDPS 592 | Professional Career Training in Education Policy Studies
"Lipman, Pauline",EDPS 593 | Doctoral Research Project
"Lipman, Pauline",EDPS 596 | Independent Study in Educational Policy Studies
"Lipman, Pauline",EDPS 599 | Dissertation and Thesis Research in Educational Policy Studies
"Lippman, Matthew",CLJ 210 | Principles of Criminal Law
"Lippman, Matthew",CLJ 311 | Criminal Procedure
"Litavsky, Grace",BIOS 120 | Biology of Populations and Communities
"Little, Aubrey",PT 600 | Introduction to Physical Therapy
"Little, Aubrey",PT 622 | Psychosocial Theory and Practice I
"Little, Aubrey",PT 624 | Therapeutic Applications
"Little, Joetta",NUPR 410 | Integrated Practicum II
"Little, Joetta",NURS 414 | Intgtd Hlth Care: Mental Hlth
"Little, Joetta",NURS 463 | Psychiatric-Mental Health Nursing
"Littman, Rebecca",PSCH 312 | Social Psychology
"Littman, Rebecca",PSCH 396 | Directed Research
"Littman, Rebecca",PSCH 397 | Readings in Psychology
"Littman, Rebecca",PSCH 399 | Independent Research
"Littman, Rebecca",PSCH 591 | Research Apprenticeship
"Littman, Rebecca",PSCH 596 | Independent Study
"Littman, Rebecca",PSCH 598 | Thesis Research
"Littman, Rebecca",PSCH 599 | Dissertation Research
"Liu, Bing",CS 583 | Data Mining and Text Mining
"Liu, Bing",CS 599 | Ph.D. Thesis Research
"Liu, Chang",KN 362 | Tissue Biomechanics
"Liu, Chang",KN 396 | Special Project
"Liu, Chang",KN 398 | Undergraduate Research
"Liu, Chang",KN 399 | Undergraduate Research Presentation
"Liu, Chang",KN 501 | Current Research in Kinesiology
"Liu, Chang",KN 596 | Independent Research in Kinesiology
"Liu, Chang",KN 597 | Project in Kinesiology
"Liu, Chang",KN 598 | Master&#39;s Thesis Research
"Liu, Derong",ECE 392 | Undergraduate Research
"Liu, Derong",ECE 493 | Special Problems
"Liu, Derong",ECE 591 | Electric al and Computer Engineering Internship
"Liu, Derong",ECE 596 | Individual Study
"Liu, Derong",ECE 598 | M.S. Thesis Research
"Liu, Derong",ECE 599 | Ph.D. Thesis Research
"Liu, Derong",ECE 599 | PhD Thesis Research
"Liu, Jing",BME 599 | Ph.D. Thesis Research
"Liu, Li",BSTT 537 | Longitudinal Data Analysis
"Liu, Li",BSTT 550 | Biostatistical Investigations
"Liu, Li",IPHS 596 | Independent Study in Public Health
"Liu, Li",IPHS 599 | Research in Public Health Sciences - Ph.D.
"Liu, Li",IPHS 698 | Integrative Learning Experience
"Liu, Linxin",STAT 101 | Introduction to Statistics
"Liu, Roy",CHEM 122 | Matter and Energy
"Liu, Roy",CHEM 123 | Foundations of Chemical Inquiry I
"Liu, Roy",CHEM 232 | Structure and Function
"Liu, Roy",CHEM 233 | Synthesis Techniques Laboratory
"Liu, Weihao",CS 109 | Programming for Engineers with MatLab
"Liu, Weihao",CS 361 | Systems Programming
"Liu, Xiaoqi",CS 488 | Introduction to Cryptography
"Liu, Xuzhou",MATH 160 | Finite Mathematics for Business
"Liu, Ying",CHE 392 | Undergraduate Research
"Liu, Ying",CHE 422 | Biochemical Engineering
"Liu, Ying",CHE 592 | Specialized Problems
"Liu, Ying",CHE 594 | Advanced Topics in Chemical Engineering
"Liu, Ying",CHE 597 | Project Research
"Liu, Ying",CHE 598 | M.S. Thesis Preparation
"Liu, Ying",CHE 599 | Ph.D. Thesis Preparation
"Liu, Yuqing",CS 151 | Mathematical Foundations of Computing
"Liu, Yuqing",CS 418 | Introduction to Data Science
"Liu, Yuru",BME 596 | Independent Study
"Liu, Yuru",BME 599 | Ph.D. Thesis Research
"Liu, Yuru",GEMS 504 | Research Methods I
"Liu, Yuru",GEMS 522 | Foundations of Biomedical Sciences II
"Liu, Yuru",PCOL 599 | Ph.D. Thesis Research
"Liubicich, Danielle",NATS 200 | Tutoring in the Science Learning Center
"Llanes, Adrian",SOC 100 | Introduction to Sociology
"Lloyd, Anna",ENTR 310 | Introduction to Entrepreneurship
"Lloyd, Anna",IPHS 494 | Social Entrepreneurship 101
"Lloyd, Anna",MGMT 594 | Global Innovation Leadership
"LoGrande, Mia",CLJ 210 | Principles of Criminal Law
"LoGrande, Mia",CLJ 311 | Criminal Procedure
"LoGrande, Mia",CLJ 423 | Violence
"LoGrande, Mia",CLJ 492 | Sexual Assault: Legal Reforms
"LoGrande, Mia",CLJ 492 | Topics: Visual Criminology
"LoSasso, Anthony",IPHS 598 | Research in Public Health Sciences - M.S.
"LoSasso, Anthony",IPHS 599 | Research in Public Health Sciences - Ph.D.
"LoSasso, Anthony",IPHS 699 | Research in Public Health Sciences - DrPH
"Lockwood, Mark",NUEL 596 | Independent Study: Graduate
"Lockwood, Mark",NURS 433 | Adult Health Nursing 2
"Lockwood, Mark",NURS 592 | Preliminary Exam Preparation
"Lockwood, Mark",NURS 599 | PhD Thesis Research
"Loeb, Jeffrey",BME 596 | Independent Study
"Loeb, Jeffrey",BME 598 | Masters Thesis Research
"Loeb, Jeffrey",BME 599 | Ph.D. Thesis Research
"Loeb, Jeffrey",NEUS 596 | Independent Study
"Loeb, Jeffrey",NEUS 598 | Master&#39;s Thesis Research in Neuroscience
"Loeb, Jeffrey",NEUS 599 | Doctoral Research in Neuroscience
"Loebel, Vandana",GC 509 | Advanced English Pronunciation
"Loebel, Vandana",GC 510 | Oral Communication for ITAs
"Loebel, Vandana",GC 510 | Oral Communication for International Teaching Assistants
"Loebel, Vandana",GC 511 | English Fluency Development
"Loentz, Elizabeth",GER 398 | Honors Project
"Loentz, Elizabeth",GER 399 | Independent Study
"Loentz, Elizabeth","GER 540 | History, Memory, Trauma in Lit"
"Loentz, Elizabeth",GER 593 | Internship Seminar: Academic Training
"Loentz, Elizabeth",GER 596 | Independent Study for Graduate Students
"Loentz, Elizabeth",GER 598 | Master&#39;s Thesis Research
"Loentz, Elizabeth",GER 599 | Ph.D. Thesis Research
"Loentz, Elizabeth",HIST 117 | Understanding the Holocaust
"Loentz, Elizabeth",JST 117 | Understanding the Holocaust
"Loentz, Elizabeth",LCSL 503 | Professional Development Workshop I
"Loentz, Elizabeth",LCSL 504 | Professional Development Workshop II
"Loentz, Elizabeth","LCSL 506 | Internship in Literatures, Cultural Studies and Linguistics"
"Loentz, Elizabeth",RELS 117 | Understanding the Holocaust
"Lofthouse, Alyson",IPHS 596 | Independent Study in Public Health
"Lofton, Saria",NUEL 399 | Independent Study: Undergraduate
"Lofton, Saria",NUEL 596 | Independent Study: Graduate
"Lofton, Saria",NURS 514 | Applied Biostatistics and Epidemiology
"Lofton, Saria",NURS 592 | Preliminary Exam Preparation
"Lohia, Vaibhav",PHYS 441 | Theoretical Mechanics
"Lombard, Ron",CLER 620 | Peoria Medicine Clerkship
"Long, Doris",JD 427 | Art and Cultural Heritage Law
"Long, Doris","JD 472 | Cyber Crime, Information Warfare and Economic Espionage"
"Longcoy, Li-Ting",NURS 592 | Preliminary Exam Preparation
"Looper, Nicole",MATH 596 | Independent Study
"Looper, Nicole",MATH 599 | Thesis Research
"Loor Ibarra, Alex",SPAN 113 | Spanish for Heritage Speakers I
"Lopatka, Dan",MUS 152 | Instrumental Ensembles
"Lopatka, Dan",MUS 159 | Jazz Ensemble
"Lopatka, Dan",MUS 181 | Private Instrumental Lessons-30 Minutes
"Lopatka, Dan",MUS 223 | Music Technology
"Lopez Garcia, David",UPP 506 | Plan-Making Studio
"Lopez Garcia, David",UPP 508 | Global Urbanization and Planning
"Lopez Garcia, David",UPP 596 | Independent Study in Urban Planning and Policy
"Lopez Garcia, David",US 498 | Independent Study in Urban Studies
"Lopez Garcia, Maria",AH 463 | Visual Culture of Labor
"Lopez Garcia, Maria",LALS 502 | Visual Culture of Labor
"Lopez Garcia, Maria",MUSE 400 | Memory/Activism/Archives
"Lopez Garcia, Maria",MUSE 400 | Visual Culture of Labor
"Lopez Garcia, Maria","MUSE 545 | Museum Genres, Practices, and Institutions"
"Lopez Garcia, Maria",MUSE 546 | Memory/Activism/Archives
"Lopez Garcia, Maria",MUSE 546 | Visual Culture of Labor
"Lopez Garcia, Maria",MUSE 582 | Supervised Internship in Museum and Exhibition Studies
"Lopez Garcia, Maria",MUSE 596 | Readings in Museum and Exhibition Studies
"Lopez Garcia, Maria",MUSE 597 | Project Research
"Lopez Garcia, Maria",MUSE 598 | MUSE Thesis Research
"Lopez, Cecilia",NURS 448 | Leadership in Professional Nursing Practice
"Lopez, Jade",SOCW 430 | Practice I: Generalist Practice with Individuals and Organizations
"Lopez, Jade","SOCW 431 | Pract II: Fam., Grps &amp; Comm"
"Lopez, Luis",FIN 472 | Real Estate Finance
"Lopez, Luis",RES 460 | Commercial Real Estate
"Lopez, Luis",RES 472 | Real Estate Finance
"Lopez, Marc",POLS 101 | Introduction to American Government and Politics
"Lopez, Michael",ART 274 | Animation: Collage and Other
"Lopez, Michael",ART 374 | 3D Animation Production
"Lopez, Rica",FR 101 | Elementary French I
"Lopez-Carretero, Luis",LING 210 | Introduction to Natural Language Syntax
"Lopez-Carretero, Luis",SPAN 206 | Introduction to Hispanic Linguistics
"Lopez-Carretero, Luis",SPAN 367 | Meaning and Context in Spanish
"Lopez-Carretero, Luis",SPAN 399 | Independent Study
"Lopez-Carretero, Luis",SPAN 590 | Preliminary Examination and Dissertation Prospectus Preparation
"Lopez-Carretero, Luis",SPAN 596 | Independent Study
"Lopez-Carretero, Luis",SPAN 598 | M.A. Thesis Research
"Lopez-Carretero, Luis",SPAN 599 | Ph.D. Thesis Research
"Lopez-Reyna, Norma",ED 396 | Independent Study
"Lopez-Reyna, Norma",ED 596 | Independent Study
"Lopez-Reyna, Norma",SPED 538 | Internship in University Teaching
"Lopez-Reyna, Norma",SPED 579 | Research Internship
"Lopez-Reyna, Norma",SPED 593 | Ph.D. Research Project
"Lopez-Reyna, Norma",SPED 596 | Independent Study
"Lopez-Reyna, Norma",SPED 599 | Thesis Research
"Lord, Eva",ACTG 210 | Intro to Fin Actg
"Lord, Eva",ACTG 210 | Introduction to Financial Accounting
"Lord, Eva",ACTG 211 | Introduction to Managerial Accounting
"Lord, Morgan",BA 100 | Introduction to Professional Development
"Lord, Morgan",BA 220 | Business Professional Development II
"Lord, Morgan",BA 420 | Professional Presence
"Lorieau, Justin",CHEM 340 | Physical Chemistry for Biochemists I
"Lorieau, Justin",CHEM 344 | Physical Chemistry for Biochemists II
"Lorieau, Justin",CHEM 444 | Spectroscopy in Chemistry and Biochemistry
"Lorieau, Justin",CHEM 492 | Independent Study
"Lorieau, Justin",CHEM 499 | Supervised Research
"Lorieau, Justin",CHEM 592 | Introduction to Chemical Research Methods
"Lorieau, Justin",CHEM 598 | Master&#39;s Thesis Research
"Lorieau, Justin",CHEM 599 | Ph.D. Thesis Research
"Losarcos, Juan",EAES 101 | Global Environmental Change
"Lotfi, Amir",ECE 467 | Introduction to VLSI Design
"Lou, Sixuan",MATH 160 | Finite Mathematics for Business
"Lou, Sixuan",MATH 181 | Calculus II
"Lousin, Ann",JD 405 | Contracts I
"Lousin, Ann",LAW 480 | Illinois Constitutional Law
"Lousin, Ann",LAW 541 | Sales Transactions
"Lovett, Josh",PSCH 343 | Statistical Methods in Behavioral Science
"Lowe, Kate",UPP 403 | Just and Sustainable Planning Practices for Great Cities
"Lowe, Kate",UPP 500 | History and Theory of Urban Planning
"Lowe, Kate",UPP 560 | Urban Transportation I: Introduction and Policy
"Lowe, Kate",UPP 593 | Independent Research in Urban Planning and Policy
"Lowe, Kate",UPP 596 | Independent Study in Urban Planning and Policy
"Lowe, Kate",UPP 597 | Master&#39;s Project Research
"Lowe, Kate",UPP 598 | Master&#39;s Thesis Research
"Lowe, Kate",UPP 599 | Ph.D. Thesis Research
"Lowe, Kate",US 250 | Analyzing the City
"Lowe, Kate",US 498 | Independent Study in Urban Studies
"Lu, Aaron",MATH 121 | Precalculus Mathematics
"Lu, Aaron",MATH 165 | Calculus for Business
"Lu, Yingda",IDS 401 | Business Object Programming using Java
"Lu, Yingda",IDS 405 | Business Systems Analysis and Design
"Lu, Yingda",IDS 499 | Research Experience
"Lu, Yingda",IDS 596 | Independent Study in Information and Decision Sciences
"Lu, Yingda",IDS 599 | Ph.D. Thesis Research
"Lu, Yu-Ting",BIOS 220 | Genetics
"Lu, Yu-Ting",BIOS 312 | Cell Biology Laboratory
